id,sensortype,data
2202,Humid,41
2203,Gas,806
2204,Temp,26
2205,Humid,43
2206,Gas,810
2207,Temp,27
2208,Humid,41
2209,Gas,807
2210,Temp,28
2211,Humid,28
2212,Gas,804
2213,Temp,27
2214,Humid,17
2215,Gas,794
2216,Temp,27
2217,Humid,41
2218,Gas,795
2219,Temp,27
2220,Humid,17
2221,Gas,794
2222,Temp,27
2223,Humid,17
2224,Gas,795
2225,Temp,27
2226,Humid,28
2227,Gas,804
2228,Temp,27
2229,Humid,17
2230,Gas,810
2231,Temp,27
2232,Humid,27
2233,Gas,807
2234,Temp,27
2235,Humid,43
2236,Gas,808
2237,Temp,27
2238,Humid,43
2239,Gas,807
2240,Temp,27
2241,Humid,42
2242,Gas,802
2243,Temp,27
2244,Humid,40
2245,Gas,804
2246,Temp,27
2247,Humid,32
2248,Gas,801
2249,Temp,27
2250,Humid,42
2251,Gas,800
2252,Temp,27
2253,Humid,35
2254,Gas,807
2255,Temp,27
2256,Humid,40
2257,Gas,816
2258,Temp,27
2259,Temp,27
2260,Humid,16
2261,Gas,811
2262,Temp,26
2263,Humid,17
2264,Gas,809
2265,Temp,26
2266,Humid,17
2267,Gas,808
2268,Temp,26
2269,Humid,30
2270,Gas,806
2271,Temp,27
2272,Humid,18
2273,Gas,802
2274,Temp,27
2275,Humid,17
2276,Gas,798
2277,Temp,27
2278,Humid,16
2279,Gas,797
2280,Temp,27
2281,Humid,16
2282,Gas,795
2283,Temp,26
2284,Humid,17
2285,Gas,795
2286,Temp,27
2287,Humid,15
2288,Gas,785
2289,Temp,26
2290,Humid,17
2291,Gas,794
2292,Temp,27
2293,Humid,16
2294,Gas,795
2295,Temp,27
2296,Humid,16
2297,Gas,784
2298,Temp,26
2299,Humid,16
2300,Gas,773
2301,Temp,26
2302,Humid,16
2303,Gas,777
2304,Temp,26
2305,Humid,16
2306,Gas,777
2307,Temp,27
2308,Humid,15
2309,Gas,777
2310,Temp,27
2311,Humid,15
2312,Gas,777
2313,Temp,27
2314,Humid,15
2315,Gas,780
2316,Temp,27
2317,Humid,15
2318,Gas,784
2319,Temp,27
2320,Humid,15
2321,Gas,782
2322,Temp,27
2323,Humid,15
2324,Gas,783
2325,Temp,27
2326,Humid,15
2327,Gas,785
2328,Temp,29
2329,Humid,14
2330,Gas,786
2331,Temp,27
2332,Humid,15
2333,Temp,26
2334,Humid,16
2335,Gas,655
2336,Temp,27
2337,Humid,15
2338,Gas,759
2339,Temp,27
2340,Humid,15
2341,Gas,792
2342,Temp,26
2343,Humid,18
2344,Gas,796
2345,Temp,27
2346,Humid,29
2347,Temp,27
2348,Humid,16
2349,Gas,793
2350,Temp,27
2351,Humid,15
2352,Gas,795
2353,Temp,27
2354,Humid,16
2355,Gas,792
2356,Temp,27
2357,Humid,16
2358,Gas,786
2359,Temp,30
2360,Humid,16
2361,Gas,787
2362,Temp,27
2363,Humid,33
2364,Gas,783
2365,Temp,27
2366,Humid,17
2367,Gas,783
2368,Temp,27
2369,Humid,16
2370,Gas,775
2371,Temp,27
2372,Humid,15
2373,Gas,785
2374,Temp,27
2375,Humid,16
2376,Gas,784
2377,Temp,27
2378,Humid,15
2379,Gas,783
2380,Temp,27
2381,Humid,15
2382,Gas,782
2383,Temp,27
2384,Humid,16
2385,Gas,778
2386,Temp,27
2387,Humid,15
2388,Gas,777
2389,Temp,27
2390,Humid,15
2391,Gas,777
2392,Temp,27
2393,Humid,15
2394,Gas,776
2395,Temp,27
2396,Humid,15
2397,Gas,776
2398,Temp,27
2399,Humid,15
2400,Gas,775
2401,Temp,27
2402,Humid,15
2403,Gas,772
2404,Temp,27
2405,Humid,15
2406,Gas,769
2407,Temp,27
2408,Humid,15
2409,Gas,769
2410,Temp,27
2411,Humid,15
2412,Gas,768
2413,Temp,27
2414,Humid,15
2415,Gas,770
2416,Temp,27
2417,Humid,15
2418,Gas,770
2419,Temp,27
2420,Humid,15
2421,Gas,771
2422,Temp,27
2423,Humid,15
2424,Gas,765
2425,Temp,27
2426,Humid,15
2427,Gas,765
2428,Temp,27
2429,Humid,15
2430,Gas,766
2431,Temp,26
2432,Humid,16
2433,Gas,771
2434,Temp,27
2435,Humid,16
2436,Gas,775
2437,Temp,27
2438,Humid,17
2439,Gas,778
2440,Temp,27
2441,Humid,17
2442,Gas,782
2443,Temp,27
2444,Humid,19
2445,Gas,786
2446,Temp,27
2447,Humid,36
2448,Gas,788
2449,Temp,27
2450,Humid,19
2451,Gas,783
2452,Temp,27
2453,Humid,17
2454,Gas,780
2455,Temp,27
2456,Humid,16
2457,Gas,776
2458,Temp,29
2459,Humid,16
2460,Gas,775
2461,Temp,27
2462,Humid,17
2463,Gas,775
2464,Temp,27
2465,Humid,32
2466,Gas,774
2467,Temp,27
2468,Humid,15
2469,Gas,774
2470,Temp,27
2471,Humid,15
2472,Gas,775
2473,Temp,27
2474,Humid,15
2475,Gas,770
2476,Temp,27
2477,Humid,15
2478,Gas,774
2479,Temp,27
2480,Humid,15
2481,Gas,774
2482,Temp,27
2483,Temp,27
2484,Humid,18
2485,Gas,729
2486,Temp,26
2487,Humid,17
2488,Gas,798
2489,Temp,26
2490,Humid,33
2491,Gas,810
2492,Temp,26
2493,Humid,43
2494,Gas,806
2495,Temp,26
2496,Humid,18
2497,Gas,772
2498,Temp,26
2499,Humid,18
2500,Gas,774
2501,Temp,26
2502,Temp,26
2503,Humid,18
2504,Gas,775
2505,Temp,26
2506,Humid,16
2507,Gas,774
2508,Temp,26
2509,Humid,16
2510,Gas,774
2511,Temp,26
2512,Humid,16
2513,Gas,773
2514,Temp,26
2515,Humid,16
2516,Gas,772
2517,Temp,21
2518,Humid,16
2519,Gas,770
2520,Temp,26
2521,Humid,16
2522,Gas,769
2523,Temp,26
2524,Humid,16
2525,Gas,769
2526,Temp,26
2527,Humid,16
2528,Gas,768
2529,Temp,26
2530,Humid,16
2531,Gas,768
2532,Temp,26
2533,Humid,18
2534,Gas,763
2535,Temp,26
2536,Humid,43
2537,Gas,765
2538,Temp,27
2539,Humid,55
2540,Gas,765
2541,Temp,27
2542,Humid,45
2543,Gas,766
2544,Temp,29
2545,Humid,43
2546,Gas,764
2547,Temp,28
2548,Humid,43
2549,Gas,762
2550,Temp,28
2551,Humid,46
2552,Gas,763
2553,Temp,28
2554,Humid,42
2555,Gas,760
2556,Temp,28
2557,Humid,42
2558,Gas,758
2559,Temp,29
2560,Humid,37
2561,Gas,759
2562,Temp,29
2563,Humid,37
2564,Gas,760
2565,Temp,32
2566,Humid,40
2567,Gas,764
2568,Temp,29
2569,Humid,42
