id,sensortype,data
3397,Temp,29
3398,Humid,38
3399,Gas,819
3400,Temp,25
3401,Humid,30
3402,Gas,819
3403,Temp,25
3404,Humid,23
3405,Gas,818
3406,Temp,25
3407,Humid,40
3408,Gas,816
3409,Temp,25
3410,Humid,29
3411,Gas,817
3412,Temp,25
3413,Humid,40
3414,Gas,819
3415,Temp,25
3416,Humid,23
3417,Gas,817
3418,Temp,25
3419,Humid,24
3420,Gas,816
3421,Temp,25
3422,Humid,24
3423,Gas,814
3424,Temp,25
3425,Humid,21
3426,Gas,814
3427,Temp,25
3428,Humid,25
3429,Gas,814
3430,Temp,25
3431,Humid,39
3432,Gas,816
3433,Temp,25
3434,Humid,25
3435,Gas,813
3436,Temp,25
3437,Humid,34
3438,Gas,813
3439,Temp,25
3440,Humid,25
3441,Gas,813
3442,Temp,25
3443,Humid,25
3444,Gas,813
3445,Temp,25
3446,Humid,25
3447,Gas,813
3448,Temp,27
3449,Humid,23
3450,Gas,813
3451,Temp,25
3452,Humid,24
3453,Gas,814
3454,Temp,25
3455,Humid,23
3456,Gas,816
3457,Temp,25
3458,Humid,34
3459,Gas,816
3460,Temp,25
3461,Humid,29
3462,Gas,809
3463,Temp,25
3464,Humid,24
3465,Gas,814
3466,Temp,25
3467,Humid,29
3468,Gas,814
3469,Temp,25
3470,Humid,33
3471,Gas,814
3472,Temp,25
3473,Humid,29
3474,Gas,814
3475,Temp,25
3476,Humid,29
3477,Gas,814
3478,Temp,26
3479,Humid,37
3480,Gas,807
3481,Temp,25
3482,Humid,39
3483,Gas,807
3484,Temp,25
3485,Humid,30
3486,Gas,813
3487,Temp,25
3488,Humid,29
3489,Gas,807
3490,Temp,25
3491,Humid,29
3492,Gas,811
3493,Temp,25
3494,Humid,29
3495,Gas,813
3496,Temp,25
3497,Humid,41
3498,Gas,813
3499,Temp,25
3500,Humid,40
3501,Gas,814
3502,Temp,25
3503,Humid,36
3504,Gas,813
3505,Temp,25
3506,Humid,36
3507,Gas,812
3508,Temp,25
3509,Humid,41
3510,Gas,812
3511,Temp,25
3512,Humid,35
3513,Gas,812
3514,Temp,25
3515,Humid,34
3516,Gas,812
3517,Temp,25
3518,Humid,29
3519,Gas,812
3520,Temp,26
3521,Humid,41
3522,Gas,812
3523,Temp,25
3524,Humid,40
3525,Gas,812
3526,Temp,25
3527,Humid,36
3528,Gas,812
3529,Temp,25
3530,Humid,29
3531,Gas,811
3532,Temp,25
3533,Humid,30
3534,Gas,810
3535,Temp,25
3536,Humid,37
3537,Gas,811
3538,Temp,25
3539,Humid,41
3540,Gas,810
3541,Temp,25
3542,Humid,29
3543,Gas,810
3544,Temp,25
3545,Humid,40
3546,Gas,806
3547,Temp,25
3548,Humid,29
3549,Gas,808
3550,Temp,25
3551,Humid,30
3552,Gas,808
3553,Temp,25
3554,Humid,29
3555,Gas,808
3556,Temp,25
3557,Humid,42
3558,Gas,808
3559,Temp,25
3560,Humid,29
3561,Gas,807
3562,Temp,25
3563,Humid,40
3564,Gas,807
3565,Temp,25
3566,Humid,29
3567,Gas,809
3568,Temp,26
3569,Humid,29
3570,Gas,806
3571,Temp,25
3572,Humid,39
3573,Gas,806
3574,Temp,25
3575,Humid,31
3576,Gas,807
3577,Temp,25
3578,Humid,30
3579,Gas,807
3580,Temp,25
3581,Humid,43
3582,Gas,806
3583,Temp,25
3584,Humid,30
3585,Gas,806
3586,Temp,25
3587,Humid,28
3588,Gas,806
3589,Temp,28
3590,Humid,28
3591,Gas,806
3592,Temp,25
3593,Humid,30
3594,Gas,806
3595,Temp,25
3596,Humid,39
3597,Gas,806
3598,Temp,25
3599,Humid,29
3600,Gas,806
3601,Temp,25
3602,Humid,29
3603,Gas,805
3604,Temp,25
3605,Humid,29
3606,Gas,805
3607,Temp,25
3608,Humid,29
3609,Gas,805
3610,Temp,25
3611,Humid,29
3612,Gas,805
3613,Temp,25
3614,Humid,29
3615,Gas,802
3616,Temp,28
3617,Humid,40
3618,Gas,804
3619,Temp,25
3620,Humid,30
3621,Gas,804
3622,Temp,25
3623,Humid,29
3624,Gas,802
3625,Temp,25
3626,Humid,29
3627,Gas,802
3628,Temp,28
3629,Humid,28
3630,Gas,804
3631,Temp,25
3632,Humid,30
3633,Gas,801
3634,Temp,25
3635,Humid,29
3636,Gas,801
3637,Temp,25
3638,Humid,29
3639,Gas,797
3640,Temp,25
3641,Humid,39
3642,Gas,802
3643,Temp,25
3644,Humid,41
3645,Gas,801
3646,Temp,25
3647,Humid,30
3648,Gas,800
3649,Temp,26
3650,Humid,29
3651,Gas,801
3652,Temp,25
3653,Humid,29
3654,Gas,800
3655,Temp,27
3656,Humid,39
3657,Gas,801
3658,Temp,25
3659,Humid,30
3660,Gas,798
3661,Temp,25
3662,Humid,30
3663,Gas,798
3664,Temp,25
3665,Humid,36
3666,Gas,800
3667,Temp,25
3668,Humid,31
3669,Gas,801
3670,Temp,25
3671,Humid,30
3672,Gas,800
3673,Temp,25
3674,Humid,41
3675,Gas,798
3676,Temp,27
3677,Humid,30
3678,Gas,798
3679,Temp,25
3680,Humid,39
3681,Gas,801
3682,Temp,25
3683,Humid,30
3684,Gas,799
3685,Temp,25
3686,Humid,30
3687,Gas,798
3688,Temp,25
3689,Humid,30
3690,Gas,797
3691,Temp,25
3692,Humid,42
3693,Gas,798
3694,Temp,25
3695,Humid,30
3696,Gas,798
3697,Temp,25
3698,Humid,39
3699,Gas,799
3700,Temp,25
3701,Humid,30
3702,Gas,804
3703,Temp,25
3704,Humid,35
3705,Gas,797
3706,Temp,25
3707,Humid,29
3708,Gas,798
3709,Temp,25
3710,Humid,39
3711,Gas,797
3712,Temp,25
3713,Humid,39
3714,Gas,797
3715,Temp,25
3716,Humid,34
3717,Gas,796
3718,Temp,20
3719,Humid,21
3720,Gas,796
3721,Temp,25
3722,Humid,41
3723,Gas,802
3724,Temp,25
3725,Humid,35
3726,Gas,796
3727,Temp,25
3728,Humid,36
3729,Gas,795
3730,Temp,25
3731,Humid,36
3732,Gas,795
3733,Temp,25
3734,Humid,31
3735,Gas,795
3736,Temp,25
3737,Humid,29
3738,Gas,795
3739,Temp,25
3740,Humid,29
3741,Gas,795
3742,Temp,25
3743,Humid,28
3744,Gas,795
3745,Temp,25
3746,Humid,40
3747,Gas,796
3748,Temp,25
3749,Humid,36
3750,Gas,795
3751,Temp,25
3752,Humid,40
3753,Gas,801
3754,Temp,25
3755,Humid,40
3756,Gas,794
3757,Temp,25
3758,Humid,29
3759,Gas,801
3760,Temp,25
3761,Humid,37
3762,Gas,798
3763,Temp,25
3764,Humid,28
3765,Gas,793
3766,Temp,25
3767,Humid,40
3768,Gas,799
3769,Temp,25
3770,Humid,29
3771,Gas,793
3772,Temp,25
3773,Humid,39
3774,Gas,793
3775,Temp,25
3776,Humid,29
3777,Gas,798
3778,Temp,25
3779,Humid,29
3780,Gas,798
3781,Temp,25
3782,Humid,29
3783,Gas,792
3784,Temp,25
3785,Humid,29
3786,Gas,793
3787,Temp,25
3788,Humid,31
3789,Gas,790
3790,Temp,25
3791,Humid,29
3792,Gas,792
3793,Temp,25
3794,Humid,29
3795,Gas,792
3796,Temp,25
3797,Humid,23
3798,Gas,797
3799,Temp,25
3800,Humid,28
3801,Gas,797
3802,Temp,25
3803,Humid,25
3804,Gas,789
3805,Temp,25
3806,Humid,23
3807,Gas,794
3808,Temp,25
3809,Humid,20
3810,Gas,788
3811,Temp,26
3812,Gas,788
3813,Humid,24
3814,Temp,25
3815,Humid,39
3816,Gas,795
3817,Temp,25
3818,Humid,27
3819,Gas,788
3820,Temp,25
3821,Humid,29
3822,Gas,795
3823,Temp,25
3824,Humid,26
3825,Gas,788
3826,Temp,25
3827,Humid,29
3828,Gas,787
3829,Temp,25
3830,Humid,29
3831,Gas,787
3832,Temp,25
3833,Humid,24
3834,Gas,795
3835,Temp,25
3836,Humid,24
3837,Gas,795
3838,Temp,25
3839,Humid,39
3840,Gas,794
3841,Temp,25
3842,Humid,29
3843,Gas,794
3844,Temp,25
3845,Humid,21
3846,Gas,795
3847,Temp,25
3848,Humid,25
3849,Gas,786
3850,Temp,25
3851,Humid,25
3852,Gas,794
3853,Temp,25
3854,Humid,39
3855,Gas,786
3856,Temp,28
3857,Humid,28
3858,Gas,787
3859,Temp,25
3860,Humid,27
3861,Gas,792
3862,Temp,25
3863,Humid,24
3864,Gas,794
3865,Temp,25
3866,Humid,24
3867,Gas,794
3868,Temp,26
3869,Humid,24
3870,Gas,794
3871,Temp,20
3872,Humid,19
3873,Gas,793
3874,Temp,25
3875,Humid,23
3876,Gas,787
3877,Temp,25
3878,Humid,27
3879,Gas,792
3880,Temp,25
3881,Humid,24
3882,Gas,793
3883,Temp,25
3884,Temp,24
3885,Humid,16
3886,Gas,934
3887,Temp,24
3888,Humid,16
3889,Gas,941
3890,Temp,24
3891,Humid,17
3892,Gas,924
3893,Temp,21
3894,Humid,15
3895,Gas,915
3896,Temp,28
3897,Humid,14
3898,Gas,900
3899,Temp,24
3900,Humid,17
3901,Gas,895
3902,Temp,25
3903,Humid,19
3904,Gas,888
3905,Temp,24
3906,Humid,18
3907,Gas,895
3908,Temp,24
3909,Humid,16
3910,Gas,888
3911,Temp,27
3912,Humid,14
3913,Gas,867
3914,Temp,24
3915,Humid,16
3916,Gas,856
3917,Temp,24
3918,Humid,16
3919,Gas,849
3920,Temp,24
3921,Humid,16
3922,Gas,847
3923,Temp,29
3924,Gas,848
3925,Humid,13
3926,Temp,24
3927,Humid,19
3928,Gas,843
3929,Temp,24
3930,Humid,16
3931,Gas,844
3932,Temp,24
3933,Humid,19
3934,Gas,836
3935,Temp,24
3936,Humid,16
3937,Gas,835
3938,Temp,24
3939,Humid,17
3940,Gas,836
3941,Temp,25
3942,Humid,15
3943,Gas,836
3944,Temp,24
3945,Humid,16
3946,Gas,826
3947,Temp,24
3948,Humid,19
3949,Gas,828
3950,Temp,24
3951,Humid,19
3952,Gas,824
3953,Temp,24
3954,Humid,19
3955,Gas,823
3956,Temp,20
3957,Humid,16
3958,Gas,820
3959,Temp,24
3960,Humid,16
3961,Gas,816
3962,Temp,26
3963,Humid,15
3964,Gas,813
3965,Temp,25
3966,Humid,16
3967,Gas,812
3968,Temp,24
3969,Humid,16
3970,Gas,810
3971,Temp,30
3972,Humid,13
3973,Gas,810
3974,Temp,24
3975,Humid,16
3976,Gas,806
3977,Temp,24
3978,Humid,16
3979,Gas,799
3980,Temp,24
3981,Humid,17
3982,Gas,802
3983,Temp,24
3984,Humid,16
3985,Gas,744
3986,Temp,24
3987,Humid,16
3988,Gas,819
3989,Temp,23
3990,Humid,17
3991,Gas,832
3992,Temp,24
3993,Humid,16
3994,Gas,831
3995,Temp,23
3996,Humid,19
3997,Temp,24
3998,Humid,16
3999,Gas,737
4000,Temp,23
4001,Humid,16
4002,Gas,813
4003,Temp,24
4004,Humid,18
4005,Gas,840
4006,Temp,23
4007,Humid,16
4008,Gas,831
4009,Temp,24
4010,Humid,16
4011,Gas,822
4012,Temp,27
4013,Humid,14
4014,Gas,824
4015,Temp,23
4016,Humid,17
4017,Gas,814
4018,Temp,24
4019,Humid,16
4020,Gas,821
4021,Temp,24
4022,Humid,16
4023,Gas,810
4024,Temp,24
4025,Humid,16
4026,Gas,814
4027,Temp,23
4028,Humid,16
4029,Gas,813
4030,Temp,24
4031,Humid,17
4032,Gas,806
4033,Temp,22
4034,Humid,16
4035,Gas,805
4036,Temp,25
4037,Humid,14
4038,Gas,809
4039,Temp,24
4040,Humid,16
4041,Gas,806
4042,Temp,23
4043,Humid,17
4044,Gas,805
4045,Temp,24
4046,Humid,18
4047,Gas,804
4048,Temp,23
4049,Humid,16
4050,Gas,806
4051,Temp,23
4052,Humid,18
4053,Gas,805
4054,Temp,27
4055,Humid,16
4056,Gas,802
4057,Temp,24
4058,Humid,16
4059,Gas,795
4060,Temp,27
4061,Humid,17
4062,Gas,796
4063,Temp,24
4064,Humid,16
4065,Gas,796
4066,Temp,24
4067,Humid,18
4068,Gas,788
4069,Temp,24
4070,Humid,16
4071,Gas,787
4072,Temp,24
4073,Humid,16
4074,Gas,796
4075,Temp,24
4076,Humid,18
4077,Gas,792
4078,Temp,24
4079,Humid,18
4080,Gas,788
4081,Temp,23
4082,Humid,19
4083,Gas,787
4084,Temp,24
4085,Humid,16
4086,Gas,792
4087,Temp,23
4088,Humid,18
4089,Gas,786
4090,Temp,24
4091,Humid,18
4092,Gas,786
4093,Temp,23
4094,Humid,16
4095,Gas,785
4096,Temp,24
4097,Humid,16
4098,Gas,784
4099,Temp,24
4100,Humid,16
4101,Gas,783
4102,Temp,24
4103,Humid,16
4104,Gas,778
4105,Temp,23
4106,Humid,17
4107,Gas,775
4108,Temp,23
4109,Humid,16
4110,Gas,784
4111,Temp,24
4112,Humid,16
4113,Gas,780
4114,Temp,24
4115,Humid,16
4116,Gas,781
4117,Temp,24
4118,Humid,16
4119,Gas,774
4120,Temp,24
4121,Humid,16
4122,Gas,781
4123,Temp,24
4124,Humid,16
4125,Gas,776
4126,Temp,24
4127,Humid,16
4128,Gas,780
4129,Temp,24
4130,Humid,16
4131,Gas,778
4132,Temp,24
4133,Humid,16
4134,Gas,777
4135,Temp,24
4136,Humid,16
4137,Gas,773
4138,Temp,23
4139,Humid,16
4140,Gas,769
4141,Temp,24
4142,Humid,16
4143,Gas,776
4144,Temp,23
4145,Humid,16
4146,Gas,769
4147,Temp,19
4148,Humid,15
4149,Gas,771
4150,Temp,24
4151,Humid,16
4152,Gas,774
4153,Temp,24
4154,Humid,16
4155,Gas,770
4156,Temp,23
4157,Humid,16
4158,Gas,769
4159,Temp,22
4160,Humid,16
4161,Gas,769
4162,Temp,24
4163,Humid,16
4164,Gas,769
4165,Temp,25
4166,Humid,15
4167,Gas,765
4168,Temp,23
4169,Humid,17
4170,Gas,771
4171,Temp,24
4172,Humid,18
4173,Gas,769
4174,Temp,23
4175,Humid,16
4176,Gas,766
4177,Temp,24
4178,Humid,18
4179,Gas,765
4180,Temp,24
4181,Humid,16
4182,Gas,765
4183,Temp,23
4184,Humid,18
4185,Gas,764
4186,Temp,24
4187,Humid,16
4188,Gas,764
4189,Temp,24
4190,Humid,16
4191,Gas,763
4192,Temp,24
4193,Humid,16
4194,Gas,762
4195,Temp,23
4196,Humid,16
4197,Gas,765
4198,Temp,27
4199,Humid,14
4200,Gas,765
4201,Temp,24
4202,Humid,16
4203,Gas,764
4204,Temp,24
4205,Humid,16
4206,Gas,760
4207,Temp,24
4208,Humid,16
4209,Gas,763
4210,Temp,24
4211,Humid,16
4212,Gas,760
4213,Temp,23
4214,Humid,16
4215,Gas,759
4216,Temp,23
4217,Humid,16
4218,Gas,762
4219,Temp,23
4220,Humid,16
4221,Gas,758
4222,Temp,24
4223,Humid,16
4224,Gas,761
4225,Temp,24
4226,Humid,16
4227,Gas,759
4228,Temp,23
4229,Humid,18
4230,Gas,757
4231,Temp,24
4232,Humid,16
4233,Gas,760
4234,Temp,24
4235,Humid,16
4236,Gas,759
4237,Temp,23
4238,Humid,16
4239,Gas,763
4240,Temp,27
4241,Humid,14
4242,Gas,753
4243,Temp,24
4244,Humid,16
4245,Gas,758
4246,Temp,26
4247,Humid,15
4248,Gas,751
4249,Temp,24
4250,Humid,16
4251,Gas,758
4252,Temp,23
4253,Humid,16
4254,Gas,758
4255,Temp,23
4256,Humid,17
4257,Gas,758
4258,Temp,24
4259,Humid,16
4260,Gas,754
4261,Temp,23
4262,Humid,16
4263,Gas,756
4264,Temp,23
4265,Humid,16
4266,Gas,756
4267,Temp,24
4268,Humid,16
4269,Gas,753
4270,Temp,24
4271,Humid,16
4272,Gas,756
4273,Humid,16
4274,Temp,23
4275,Gas,754
4276,Temp,24
4277,Humid,16
4278,Gas,758
4279,Temp,24
4280,Humid,18
4281,Gas,754
4282,Temp,23
4283,Humid,16
4284,Gas,756
4285,Temp,24
4286,Humid,16
4287,Gas,749
4288,Temp,27
4289,Humid,13
4290,Gas,753
4291,Temp,23
4292,Humid,16
4293,Gas,754
4294,Temp,24
4295,Humid,16
4296,Gas,748
4297,Humid,16
4298,Temp,24
4299,Gas,753
4300,Temp,23
4301,Humid,16
4302,Gas,747
4303,Temp,24
4304,Humid,16
4305,Gas,750
4306,Temp,24
4307,Humid,16
4308,Gas,756
4309,Temp,23
4310,Humid,16
4311,Gas,749
4312,Temp,24
4313,Humid,17
4314,Gas,750
4315,Temp,23
4316,Humid,16
4317,Gas,749
4318,Temp,23
4319,Humid,17
4320,Gas,753
4321,Temp,24
4322,Humid,18
4323,Gas,746
4324,Temp,24
4325,Humid,16
4326,Gas,748
4327,Temp,23
4328,Humid,16
4329,Gas,750
4330,Temp,24
4331,Humid,18
4332,Gas,748
4333,Temp,24
4334,Humid,16
4335,Gas,748
4336,Temp,23
4337,Humid,16
4338,Gas,745
4339,Temp,26
4340,Humid,15
4341,Gas,745
4342,Temp,23
4343,Humid,16
4344,Gas,744
4345,Temp,24
4346,Humid,16
4347,Gas,746
4348,Temp,23
4349,Humid,16
4350,Gas,750
4351,Temp,27
4352,Humid,14
4353,Gas,753
4354,Temp,24
4355,Humid,16
4356,Gas,747
4357,Temp,24
4358,Humid,16
4359,Gas,753
4360,Temp,27
4361,Humid,14
4362,Gas,741
4363,Temp,23
4364,Humid,16
4365,Gas,746
4366,Temp,24
4367,Humid,17
4368,Gas,745
4369,Temp,23
4370,Humid,16
4371,Gas,749
4372,Temp,24
4373,Humid,18
4374,Gas,750
4375,Temp,24
4376,Humid,16
4377,Gas,747
4378,Temp,24
4379,Humid,17
4380,Gas,744
4381,Temp,23
4382,Humid,16
4383,Gas,749
4384,Temp,24
4385,Gas,730
4386,Temp,23
4387,Humid,18
4388,Gas,734
4389,Temp,24
4390,Humid,16
4391,Gas,730
4392,Temp,24
4393,Humid,19
4394,Gas,724
4395,Temp,28
4396,Humid,17
4397,Gas,732
4398,Temp,23
4399,Humid,17
4400,Gas,729
4401,Temp,24
4402,Humid,17
4403,Gas,730
4404,Temp,24
4405,Humid,19
4406,Gas,728
4407,Temp,24
4408,Humid,19
4409,Gas,730
4410,Temp,23
4411,Humid,19
4412,Gas,726
4413,Temp,24
4414,Humid,19
4415,Gas,728
4416,Temp,23
4417,Humid,17
4418,Gas,728
4419,Temp,25
4420,Humid,15
4421,Gas,732
4422,Temp,24
4423,Humid,17
4424,Gas,728
4425,Temp,24
4426,Humid,17
4427,Gas,730
4428,Temp,23
4429,Humid,19
4430,Gas,732
4431,Temp,24
4432,Humid,16
4433,Gas,734
4434,Temp,24
4435,Humid,16
4436,Gas,728
4437,Temp,24
4438,Humid,19
4439,Gas,732
4440,Temp,24
4441,Humid,19
4442,Gas,730
4443,Temp,23
4444,Humid,19
4445,Gas,732
4446,Temp,24
4447,Humid,19
4448,Gas,735
4449,Temp,24
4450,Humid,19
4451,Gas,728
4452,Temp,24
4453,Humid,19
4454,Gas,729
4455,Temp,24
4456,Gas,732
4457,Humid,16
4458,Temp,24
4459,Humid,16
4460,Gas,745
4461,Temp,24
4462,Humid,19
4463,Gas,741
4464,Temp,30
4465,Humid,13
4466,Gas,737
4467,Temp,24
4468,Humid,19
4469,Gas,736
4470,Temp,24
4471,Humid,19
4472,Gas,728
4473,Temp,24
4474,Humid,16
4475,Gas,736
4476,Temp,24
4477,Humid,19
4478,Gas,737
4479,Temp,24
4480,Humid,16
4481,Gas,737
4482,Temp,26
4483,Humid,15
4484,Gas,736
4485,Temp,24
4486,Humid,16
4487,Gas,735
4488,Temp,24
4489,Humid,16
4490,Gas,726
4491,Temp,24
4492,Humid,17
4493,Gas,727
4494,Temp,24
4495,Humid,19
4496,Gas,728
4497,Temp,24
4498,Humid,16
4499,Gas,728
4500,Temp,24
4501,Humid,19
4502,Gas,723
4503,Temp,24
4504,Humid,16
4505,Gas,730
4506,Temp,24
4507,Humid,16
4508,Gas,729
4509,Temp,28
4510,Humid,14
4511,Gas,732
4512,Temp,24
4513,Humid,19
4514,Gas,729
4515,Temp,24
4516,Humid,19
4517,Gas,728
4518,Temp,24
4519,Humid,16
4520,Gas,727
4521,Temp,28
4522,Humid,14
4523,Gas,724
4524,Temp,24
4525,Humid,17
4526,Gas,732
4527,Temp,24
4528,Humid,16
4529,Gas,735
4530,Temp,24
4531,Humid,19
4532,Gas,741
4533,Temp,24
4534,Humid,17
4535,Gas,740
4536,Temp,24
4537,Humid,16
4538,Gas,744
4539,Temp,24
4540,Humid,19
4541,Gas,732
4542,Temp,31
4543,Humid,26
4544,Gas,738
4545,Temp,24
4546,Humid,16
4547,Gas,741
4548,Temp,24
4549,Humid,19
4550,Gas,728
4551,Temp,31
4552,Humid,15
4553,Gas,728
4554,Temp,24
4555,Humid,16
4556,Gas,728
4557,Temp,24
4558,Humid,16
4559,Gas,725
4560,Temp,24
4561,Humid,16
4562,Gas,727
4563,Temp,26
4564,Humid,15
4565,Gas,725
4566,Temp,24
4567,Humid,17
4568,Gas,727
4569,Temp,26
4570,Humid,16
4571,Gas,841
4572,Temp,23
4573,Humid,16
4574,Gas,835
4575,Temp,23
4576,Humid,16
4577,Gas,832
4578,Temp,23
4579,Humid,18
4580,Gas,830
4581,Temp,23
4582,Humid,17
4583,Gas,829
4584,Temp,23
4585,Humid,17
4586,Gas,825
4587,Temp,23
4588,Humid,16
4589,Gas,824
4590,Temp,23
4591,Humid,16
4592,Gas,821
4593,Temp,23
4594,Humid,16
4595,Gas,818
4596,Temp,25
4597,Humid,15
4598,Gas,808
4599,Temp,23
4600,Humid,16
4601,Gas,817
4602,Temp,23
4603,Humid,18
4604,Gas,817
4605,Temp,23
4606,Humid,19
4607,Gas,814
4608,Temp,23
4609,Humid,16
4610,Gas,811
4611,Temp,23
4612,Humid,16
4613,Gas,810
4614,Temp,23
4615,Humid,16
4616,Gas,808
4617,Temp,23
4618,Humid,16
4619,Gas,807
4620,Temp,23
4621,Humid,16
4622,Gas,806
4623,Temp,23
4624,Humid,16
4625,Gas,804
4626,Temp,23
4627,Humid,16
4628,Gas,802
4629,Temp,23
4630,Humid,16
4631,Gas,805
4632,Temp,23
4633,Humid,18
4634,Gas,805
4635,Temp,23
4636,Humid,16
4637,Gas,806
4638,Temp,25
4639,Humid,18
4640,Gas,805
4641,Temp,22
4642,Humid,17
4643,Gas,804
4644,Temp,23
4645,Humid,17
4646,Gas,802
4647,Temp,22
4648,Humid,17
4649,Gas,800
4650,Temp,22
4651,Humid,17
4652,Gas,796
4653,Temp,23
4654,Humid,16
4655,Gas,797
4656,Temp,22
4657,Humid,17
4658,Gas,796
4659,Temp,23
4660,Humid,17
4661,Gas,794
4662,Temp,22
4663,Humid,17
4664,Gas,788
4665,Temp,23
4666,Humid,16
4667,Gas,786
4668,Temp,22
4669,Humid,17
4670,Gas,787
4671,Temp,22
4672,Humid,17
4673,Gas,783
4674,Temp,22
4675,Humid,17
4676,Gas,776
4677,Temp,23
4678,Humid,17
4679,Gas,776
4680,Temp,22
4681,Humid,17
4682,Gas,784
4683,Temp,25
4684,Humid,16
4685,Gas,725
4686,Temp,28
4687,Humid,14
4688,Gas,814
4689,Temp,23
4690,Humid,17
4691,Gas,826
4692,Temp,23
4693,Humid,19
4694,Gas,823
4695,Temp,23
4696,Humid,16
4697,Gas,816
4698,Temp,27
4699,Humid,14
4700,Gas,811
4701,Temp,23
4702,Humid,17
4703,Gas,811
4704,Temp,26
4705,Humid,15
4706,Gas,806
4707,Temp,23
4708,Humid,17
4709,Gas,800
4710,Temp,23
4711,Humid,16
4712,Gas,796
4713,Temp,27
4714,Humid,16
4715,Gas,776
4716,Temp,24
4717,Humid,16
4718,Gas,710
4719,Temp,25
4720,Humid,15
4721,Gas,774
4722,Temp,24
4723,Humid,16
4724,Gas,793
4725,Temp,23
4726,Humid,16
4727,Gas,801
4728,Temp,25
4729,Humid,15
4730,Gas,807
4731,Temp,24
4732,Humid,16
4733,Gas,808
4734,Temp,24
4735,Humid,16
4736,Gas,801
4737,Temp,24
4738,Humid,17
4739,Gas,796
4740,Temp,24
4741,Humid,19
4742,Gas,794
4743,Temp,24
4744,Humid,16
4745,Gas,789
4746,Temp,25
4747,Humid,15
4748,Gas,773
4749,Temp,24
4750,Humid,16
4751,Gas,773
4752,Temp,24
4753,Humid,16
4754,Gas,774
4755,Temp,24
4756,Humid,16
4757,Gas,771
4758,Temp,24
4759,Humid,16
4760,Gas,774
4761,Temp,24
4762,Humid,16
4763,Gas,772
4764,Temp,24
4765,Humid,16
4766,Gas,776
4767,Temp,24
4768,Humid,16
4769,Gas,776
4770,Temp,25
4771,Humid,15
4772,Gas,777
4773,Temp,24
4774,Humid,16
4775,Gas,776
4776,Temp,24
4777,Humid,17
4778,Gas,776
4779,Temp,24
4780,Humid,17
4781,Gas,769
4782,Temp,24
4783,Humid,16
4784,Gas,765
4785,Temp,25
4786,Humid,16
4787,Gas,768
4788,Temp,23
4789,Temp,24
4790,Humid,16
4791,Gas,666
4792,Temp,25
4793,Humid,15
4794,Gas,747
4795,Temp,24
4796,Humid,16
4797,Gas,759
4798,Temp,26
4799,Humid,15
4800,Gas,759
4801,Temp,27
4802,Humid,14
4803,Gas,762
4804,Temp,24
4805,Humid,16
4806,Gas,763
4807,Temp,22
4808,Humid,14
4809,Gas,759
4810,Temp,24
4811,Humid,17
4812,Gas,758
4813,Temp,25
4814,Humid,15
4815,Gas,756
4816,Temp,24
4817,Humid,16
4818,Gas,754
4819,Temp,24
4820,Humid,16
4821,Gas,748
4822,Temp,24
4823,Humid,16
4824,Gas,749
4825,Temp,24
4826,Humid,16
4827,Gas,749
4828,Temp,24
4829,Humid,16
4830,Gas,752
4831,Temp,24
4832,Humid,16
4833,Gas,749
4834,Temp,24
4835,Humid,16
4836,Gas,750
4837,Temp,24
4838,Humid,16
4839,Gas,747
4840,Temp,24
4841,Humid,16
4842,Gas,741
4843,Temp,24
4844,Humid,17
4845,Gas,730
4846,Temp,24
4847,Humid,19
4848,Gas,735
4849,Temp,24
4850,Humid,16
4851,Gas,735
4852,Temp,24
4853,Humid,16
4854,Gas,736
4855,Temp,24
4856,Humid,18
4857,Gas,740
4858,Temp,24
4859,Humid,16
4860,Gas,739
4861,Temp,24
4862,Humid,16
4863,Gas,741
4864,Temp,24
4865,Humid,16
4866,Gas,738
4867,Temp,24
4868,Humid,16
4869,Gas,738
4870,Temp,24
4871,Humid,16
4872,Gas,738
4873,Temp,24
4874,Humid,16
4875,Gas,736
4876,Temp,24
4877,Humid,16
4878,Gas,736
4879,Temp,24
4880,Humid,16
4881,Gas,735
4882,Temp,25
4883,Humid,15
4884,Gas,736
4885,Temp,24
4886,Humid,16
4887,Gas,745
4888,Temp,24
4889,Humid,16
4890,Gas,740
4891,Temp,26
4892,Humid,15
4893,Gas,740
4894,Temp,24
4895,Humid,16
4896,Gas,736
4897,Temp,24
4898,Humid,16
4899,Gas,736
4900,Temp,24
4901,Humid,18
4902,Gas,738
4903,Temp,24
4904,Humid,16
4905,Gas,736
4906,Temp,30
4907,Humid,13
4908,Gas,739
4909,Temp,27
4910,Humid,14
4911,Gas,738
4912,Temp,24
4913,Humid,16
4914,Gas,738
4915,Temp,24
4916,Humid,16
4917,Gas,737
4918,Temp,24
4919,Humid,16
4920,Gas,739
4921,Temp,24
4922,Humid,18
4923,Gas,738
4924,Temp,24
4925,Humid,16
4926,Gas,737
4927,Temp,24
4928,Humid,16
4929,Gas,736
4930,Temp,24
4931,Humid,16
4932,Gas,735
4933,Temp,24
4934,Humid,16
4935,Gas,737
4936,Temp,24
4937,Humid,16
4938,Gas,738
4939,Temp,25
4940,Humid,15
4941,Gas,737
4942,Temp,24
4943,Humid,16
4944,Gas,736
4945,Temp,24
4946,Humid,16
4947,Gas,736
4948,Temp,24
4949,Humid,16
4950,Gas,735
