6,0.75,0.5625,0,4;6,0.5625,0.5625,0,2;6,0.4052267294011048,0.5625,0,3;6,0.12647536614346103,0.5062500000000001,0,3;6,0.1669462179824272,0.6375000000000001,0,3;;
6,0.75,0.75,0,2;6,0.75,0.5625,0,5;;;;;
6,0.75,0.5625,0,5;6,0.5625,0.421875,0,5;6,0.30392004705082865,0.40078125,0,2;6,0.12647536614346103,0.37968749999999996,0,2;6,0.12520966348682042,0.421875,0,2;6,0.08184249780863968,0.45000000000000007,0,2;6,0.030954162389557376,0.5625,0,4
